unix date,volume,fees
"1625443200","122548031.40280959","367644.09420842875"
"1625356800","106027239.79129413","318081.7193738824"
"1625270400","84986911.96797827","254960.73590393478"
"1625184000","105471636.51171611","316414.90953514836"
"1625097600","135273211.89425996","405819.63568277995"
"1625011200","161791134.92688322","485373.40478064964"
"1624924800","135973069.41738093","407919.20825214277"
"1624838400","180313795.63486233","540941.386904587"
"1624752000","116647104.56410365","349941.31369231094"
"1624665600","135155092.1337418","405465.27640122536"
"1624579200","155250167.14955568","465750.5014486671"
"1624492800","115255093.71210991","345765.28113632975"
"1624406400","212440614.86671677","637321.8446001504"
"1624320000","346936627.9537529","1040809.8838612586"
"1624233600","479392782.16954917","1438178.3465086475"
"1624147200","219643037.2690348","658929.1118071044"
"1624060800","154106041.24319434","462318.123729583"
"1623974400","181995417.53789335","545986.25261368"
"1623888000","154707294.51662546","464121.8835498764"
"1623801600","171816021.9075005","515448.06572250155"
"1623715200","170351172.23747122","511053.5167124137"
"1623628800","199602663.64656532","598807.990939696"
"1623542400","194021409.99103105","582064.2299730931"
"1623456000","189027293.9568726","567081.8818706179"
"1623369600","230296646.60459813","690889.9398137945"
"1623283200","261673781.333692","785021.344001076"
"1623196800","395540767.7611003","1186622.303283301"
"1623110400","501956298.5223813","1505868.895567144"
"1623024000","332849383.65962166","998548.150978865"
"1622937600","179150642.08337447","537451.9262501234"
"1622851200","337586379.6421226","1012759.1389263679"
